@RELATION knnModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {trainingData/disgust,trainingData/fear,trainingData/happy}

@DATA
0.094235,0.012714,3.112697,0.187184,0.206806,0.633985,0.021707,0.134590,-28.218410,1.596595,-0.307791,0.341329,-0.345452,0.211705,-0.069100,0.168534,-0.118951,-0.058123,0.024914,-0.023980,-0.104378,0.008666,0.004778,0.012476,0.008128,0.038626,0.009767,0.048691,0.001691,0.013114,0.020378,0.015683,0.004890,0.028583,0.100547,0.017909,0.176138,0.079610,0.036890,0.675250,0.018114,0.160320,3.223286,1.236300,0.802178,0.480733,0.427891,0.310179,0.490425,0.295513,0.293305,0.208480,0.283748,0.257402,0.254615,0.013500,0.007813,0.014880,0.012939,0.028605,0.022511,0.061448,0.003393,0.027157,0.023005,0.020247,0.010116,0.018240,trainingData/disgust
0.094590,0.008914,3.061361,0.183746,0.208922,0.602811,0.018537,0.142760,-28.213725,2.261828,-0.967177,0.385386,-0.223806,0.038791,0.177962,-0.018687,-0.102546,-0.128652,-0.001176,-0.130008,-0.110960,0.010674,0.002778,0.017210,0.011113,0.033809,0.009658,0.036677,0.003208,0.011866,0.016917,0.021617,0.004802,0.022711,0.080481,0.013298,0.317276,0.074915,0.031742,0.496178,0.014243,0.124952,3.524913,1.000826,0.990882,0.570077,0.521347,0.269373,0.397963,0.235374,0.335035,0.234011,0.329543,0.304111,0.256328,0.011069,0.003778,0.019412,0.017029,0.035286,0.014520,0.044369,0.003301,0.018293,0.020775,0.028361,0.007218,0.013991,trainingData/disgust
0.148995,0.016893,3.152818,0.244028,0.219541,0.861096,0.023736,0.225625,-28.195119,2.219486,0.431719,-0.125270,-0.314808,-0.029353,-0.042600,0.175476,-0.119130,-0.041573,-0.070410,-0.093959,-0.119506,0.009167,0.008080,0.019199,0.009594,0.018566,0.007214,0.037746,0.000799,0.010960,0.033525,0.020304,0.006419,0.026714,0.143775,0.026933,0.197910,0.128668,0.026985,0.818657,0.020663,0.240849,3.325723,1.354477,0.793084,0.678051,0.480993,0.359317,0.375306,0.373329,0.348819,0.291076,0.319159,0.301804,0.227458,0.012744,0.017658,0.027472,0.020675,0.026546,0.014243,0.054087,0.001885,0.021372,0.035980,0.026464,0.012294,0.016091,trainingData/disgust
0.100109,0.011174,3.099835,0.212203,0.216720,0.670377,0.027517,0.175510,-27.995578,1.813633,-0.430279,0.437106,-0.205140,0.199979,0.014801,0.073138,-0.005751,0.002007,-0.240834,0.011698,-0.138721,0.014713,0.004314,0.021451,0.009774,0.031912,0.005038,0.063127,0.001636,0.006793,0.018892,0.015849,0.005243,0.033979,0.108854,0.014405,0.265577,0.123258,0.056140,0.635456,0.029300,0.228389,3.899907,1.113673,0.935704,0.469966,0.486783,0.305914,0.350000,0.175370,0.310581,0.272220,0.333854,0.245926,0.330383,0.026456,0.009017,0.026851,0.017473,0.049036,0.009900,0.094419,0.002291,0.014243,0.025985,0.026428,0.007305,0.022979,trainingData/disgust
0.082587,0.018305,3.169363,0.186457,0.223114,0.425344,0.029809,0.120137,-28.080369,2.879323,0.479317,0.101228,-0.128852,-0.197532,-0.072422,0.052432,-0.148221,-0.064282,-0.076558,-0.070057,-0.211537,0.016190,0.003086,0.013970,0.015225,0.037957,0.007049,0.030881,0.001011,0.008161,0.040879,0.040949,0.004371,0.031179,0.083860,0.027111,0.164850,0.085908,0.034012,0.466094,0.033538,0.131861,3.030311,0.836896,0.686874,0.471675,0.453261,0.306878,0.268254,0.257618,0.319998,0.243779,0.277483,0.255806,0.306546,0.016214,0.004308,0.019182,0.031670,0.046046,0.010566,0.033177,0.002508,0.014610,0.045481,0.049748,0.008518,0.012148,trainingData/disgust
0.087658,0.007818,3.093703,0.184743,0.217751,0.505642,0.030324,0.121269,-29.128020,2.421774,0.237224,-0.214828,-0.405545,0.180632,-0.075696,0.229113,-0.212885,-0.103182,-0.094132,-0.170337,-0.112265,0.013838,0.004138,0.018813,0.022428,0.029505,0.005566,0.024703,0.001830,0.005579,0.028228,0.030485,0.006027,0.029177,0.088462,0.014547,0.299400,0.086934,0.029517,0.552611,0.033527,0.145728,3.579172,1.159600,0.718912,0.661263,0.404821,0.429880,0.371298,0.329846,0.317051,0.294479,0.290185,0.325317,0.295153,0.021583,0.007223,0.023913,0.040763,0.031930,0.009276,0.039555,0.005730,0.012162,0.037414,0.031017,0.013050,0.016033,trainingData/disgust
0.089737,0.019425,3.136062,0.182435,0.206552,0.537851,0.061797,0.131452,-29.184453,2.324813,0.433057,0.059048,-0.321346,0.021200,-0.120475,0.091373,-0.150746,-0.025041,-0.136479,0.019368,-0.121348,0.006045,0.004615,0.012850,0.008229,0.046948,0.008919,0.044097,0.001274,0.008120,0.035291,0.018024,0.003536,0.033615,0.097223,0.027810,0.301642,0.092749,0.027962,0.586620,0.065088,0.151349,4.037494,1.006270,0.829776,0.637124,0.508539,0.360676,0.380184,0.264282,0.372733,0.261156,0.269121,0.302224,0.299902,0.009026,0.009707,0.018548,0.015759,0.039134,0.025933,0.058234,0.003253,0.012827,0.041301,0.024282,0.005922,0.017204,trainingData/disgust
0.076598,0.021055,3.115545,0.166879,0.210267,0.434082,0.052049,0.134399,-28.992055,3.135540,-0.012141,-0.034302,-0.229537,-0.167742,-0.094175,-0.102459,-0.064450,-0.010314,0.023767,-0.023893,-0.090202,0.006445,0.007362,0.016362,0.010962,0.036077,0.005646,0.058964,0.000937,0.024327,0.034491,0.011882,0.004503,0.033553,0.096406,0.031375,0.151111,0.110253,0.051527,0.691896,0.040011,0.191763,3.445106,1.494921,0.784548,0.739158,0.468881,0.327679,0.400026,0.261471,0.312971,0.317864,0.250520,0.271868,0.289278,0.009497,0.015577,0.023872,0.020125,0.039952,0.010279,0.058203,0.001693,0.033824,0.039207,0.020800,0.012461,0.016989,trainingData/disgust
0.061612,0.022995,3.166316,0.151996,0.200392,0.303787,0.024682,0.095082,-27.453715,3.183010,-0.012803,0.039564,-0.135583,-0.130719,-0.014798,-0.067152,-0.178281,-0.097087,-0.023738,-0.071949,-0.153413,0.010997,0.005293,0.012232,0.019652,0.014520,0.004914,0.021125,0.002696,0.016310,0.050446,0.045891,0.002831,0.030349,0.069275,0.031191,0.194350,0.073778,0.027424,0.392882,0.016472,0.109981,2.349556,0.826974,0.876749,0.724076,0.487335,0.359780,0.365613,0.250571,0.356305,0.296859,0.337026,0.319304,0.315945,0.017026,0.012809,0.012753,0.033411,0.015341,0.009165,0.024592,0.007078,0.024479,0.045441,0.044028,0.005420,0.011983,trainingData/disgust
0.072022,0.019533,3.089536,0.204398,0.231032,0.404735,0.024001,0.082514,-28.816935,2.227164,-0.031641,0.262600,-0.335916,0.177866,0.096588,0.089585,-0.016374,-0.101607,-0.012004,-0.001856,-0.104986,0.006753,0.006908,0.016649,0.009515,0.055076,0.005796,0.056397,0.001886,0.002354,0.027163,0.019721,0.002236,0.035978,0.081225,0.028145,0.175295,0.077029,0.033213,0.442182,0.018049,0.100691,2.718089,0.772782,0.687132,0.429014,0.396182,0.293777,0.244800,0.245179,0.293917,0.254806,0.240284,0.209463,0.244224,0.011232,0.018925,0.021661,0.019798,0.026121,0.017047,0.055941,0.004245,0.002715,0.037000,0.025946,0.004520,0.012968,trainingData/disgust
0.095574,0.014164,3.108433,0.180051,0.195518,0.545458,0.023563,0.135976,-28.032667,2.138737,-0.471693,0.198597,-0.045080,0.006861,-0.070629,0.059266,-0.030634,0.054067,-0.112899,0.043475,-0.200155,0.009379,0.006790,0.012532,0.005638,0.026356,0.004941,0.046489,0.001371,0.005376,0.033530,0.021323,0.007498,0.027459,0.087289,0.020829,0.188363,0.088522,0.040100,0.459168,0.019157,0.126215,3.608466,1.140021,1.014392,0.632758,0.563068,0.390538,0.304697,0.305861,0.295000,0.266540,0.243682,0.308631,0.271202,0.013372,0.013269,0.017610,0.010322,0.030257,0.008281,0.060897,0.001912,0.010679,0.041074,0.030886,0.012633,0.018892,trainingData/disgust
0.063402,0.025405,3.183371,0.145101,0.190596,0.382837,0.025737,0.094754,-26.726727,3.138704,-0.245652,0.489840,-0.505228,-0.172604,0.028696,-0.160268,-0.027550,0.019965,0.060304,0.090393,-0.220428,0.011214,0.004380,0.010206,0.006556,0.016429,0.006286,0.046618,0.001489,0.013078,0.044552,0.034947,0.004878,0.030701,0.070811,0.029898,0.233966,0.071345,0.028993,0.461565,0.024936,0.104279,2.642906,0.909397,0.872757,0.550955,0.494557,0.374534,0.331298,0.385710,0.274285,0.298442,0.249377,0.235084,0.311692,0.018672,0.008912,0.014570,0.012696,0.019804,0.006898,0.052363,0.003516,0.017375,0.041836,0.043939,0.011156,0.012650,trainingData/disgust
0.097807,0.027456,3.073996,0.181629,0.202086,0.619872,0.030720,0.149057,-27.147315,2.129264,-0.429731,0.276516,-0.245803,0.129850,-0.064448,-0.015719,-0.042524,-0.070123,-0.162902,-0.124285,-0.162794,0.014563,0.005659,0.022799,0.007995,0.028171,0.008930,0.031601,0.001758,0.007124,0.023963,0.019185,0.007050,0.024243,0.101280,0.031826,0.300598,0.100973,0.029801,0.699460,0.042649,0.169758,3.891004,1.535224,1.027223,0.498609,0.501782,0.347899,0.457815,0.277687,0.353950,0.327727,0.312670,0.294910,0.348955,0.021377,0.011641,0.032018,0.014329,0.032764,0.018441,0.060263,0.002301,0.010612,0.031507,0.018377,0.008441,0.017969,trainingData/disgust
0.096619,0.037754,3.184649,0.186200,0.209615,0.499868,0.022619,0.136762,-26.627428,2.571733,-0.512049,-0.086897,0.066388,-0.060637,-0.025108,-0.083959,-0.117904,-0.170491,-0.058309,-0.095621,-0.092294,0.009233,0.004707,0.017180,0.011840,0.022500,0.015262,0.049758,0.001853,0.004776,0.040083,0.021409,0.005080,0.030509,0.095660,0.049189,0.152133,0.090629,0.034793,0.531047,0.026334,0.142410,3.662931,1.176124,0.873130,0.682843,0.605125,0.461996,0.402736,0.340252,0.261089,0.264539,0.342946,0.320136,0.368279,0.013586,0.007940,0.021319,0.019646,0.031703,0.027119,0.064783,0.002800,0.005863,0.046762,0.029284,0.010823,0.018387,trainingData/disgust
